title,author,description,short_description,year,cover,original_title,original_isbn,q
Водяной нож,Паоло Бачигалупи,"К середине XXI века юго-западные штаты Америки испытывают дефицит воды. Водные ресурсы стали ходовым товаром, государственные чиновники и игроки на биржах вынуждены осваивать новые статьи: параметры потока в кубических футах в секунду, количество снега и отклонения от нормы таяния, глубина и заполненность дамб и резервуаров.Угроза превращения некогда плодородных земель в пыльную каменистую пустыню вполне реальна.Калифорния перехватывает инициативу у других штатов, играет против правил, пытаясь монополизировать живительный поток реки Колорадо, подкупая продажных политиков и отрезая от водных артерий поселки и малые города.А в это время отчаявшиеся внимают проповедникам секты «Веселых Перри», верящим, что бог пошлет им дождь.Чиновники продолжают плодить тонны бесполезных бумаг.Бедняки безропотно умирают...А юная журналистка, описывающая гибель города Финикса, осмеливается заглянуть за кулисы системы распределения воды. Что же принесет ее опасное расследование?","К середине XXI века юго-западные штаты Америки испытывают дефицит воды. Водные ресурсы стали ходовым товаром, государственные чиновники и игроки на биржах вынуждены осваивать новые статьи: параметры п",2004,https://images.amazon.com/images/P/0142000981.01.LZZZZZZZ.jpg,Coal: A Human History,0142000981,водяной нож паоло бачигалупи
Остров на краю света,Джоанн Харрис,"На крошечном бретонском островке ничего не менялось вот уже больше ста лет. Поколение за поколением бедная деревушка Ле Салан и зажиточный городок Ла Уссиньер вели борьбу за единственный на острове пляж. Но теперь все изменится.Вернувшись на родной остров после десятилетнего отсутствия, Мадо обнаруживает, что древнему дому ее семьи угрожают приливные волны и махинации местного богача. Хуже того, вся деревня утратила волю и надежду на лучшее.Но Мадо, покрутившаяся в парижской круговерти, готова горы свернуть. Заручившись поддержкой невесть как попавшего на остров чужака, она пытается мобилизовать земляков на подвиги. Однако первые же ее успехи имеют неожиданные последствия...",На крошечном бретонском островке ничего не менялось вот уже больше ста лет. Поколение за поколением бедная деревушка Ле Салан и зажиточный городок Ла Уссиньер вели борьбу за единственный на острове пл,2002,https://images.amazon.com/images/P/0060198125.01.LZZZZZZZ.jpg,Coastliners : A Novel,0060198125,остров на краю света джоанн харрис
Спасать или спасаться? Как избавитьcя от желания постоянно опекать других и начать думать о себе,Мелоди Битти,"Если вы живете проблемами близкого человека, если постоянно стремитесь контролировать его жизнь, если чувствуете, что растворяетесь в другом, забыв о себе – значит, вы склонны к созависимости. И эта книга, ставшая международным бестселлером для вас.Мелоди Битти впервые популярно объяснила, что такое созависимость, и это оказалось созвучно огромному количеству людей. В книге вы найдете: пронзительные жизненные истории; признаки созависимости, которые помогут каждому оценить свою ситуацию; советы по преодолению зависимых отношений; рекомендации, как начать новую жизнь.«Мы – самое замечательное событие, которое когда-либо случалось с нами. Поверьте в это. Это здорово облегчает жизнь».","Если вы живете проблемами близкого человека, если постоянно стремитесь контролировать его жизнь, если чувствуете, что растворяетесь в другом, забыв о себе – значит, вы склонны к созависимости. И эта к",1992,https://images.amazon.com/images/P/0062554468.01.LZZZZZZZ.jpg,Codependent No More: How to Stop Controlling Others and Start Caring for Yourself,0062554468,спасать или спасаться как избавитьcя от желания постоянно опекать других и начать думать о себе мелоди битти
Люби меня до смерти,Эллисон Бреннан,"Шесть лет назад Люси Кинкейд пережила страшную драму – ее похитила шайка преступников, завлекавших свои жертвы с помощью сайтов интернет-знакомств. Люси тогда удалось выжить, а ее обидчики либо погибли в ходе полицейского штурма, либо сели в тюрьму. После этого девушка решила посвятить свою жизнь борьбе с насилием. Она стала стажером ФБР и занялась выявлением в Сети садистов, вышедших из тюрьмы, но не порвавших со своим прошлым. Однако за последнее время произошли странные события. Семеро из «подопечных» Люси погибли один за другим от рук неизвестного убийцы, а сама Кинкейд начала чувствовать, что кто-то незримо следит за ней. Она уверена: вот-вот что-то должно случиться. Что-то страшное... И в этот момент Люси обретает неожиданную помощь от мужчины, который становится ей защитником, помощником – и любовью всей ее жизни...","Шесть лет назад Люси Кинкейд пережила страшную драму – ее похитила шайка преступников, завлекавших свои жертвы с помощью сайтов интернет-знакомств. Люси тогда удалось выжить, а ее обидчики либо погибл",2002,https://images.amazon.com/images/P/0821769340.01.LZZZZZZZ.jpg,Cold Blooded,0821769340,люби меня до смерти эллисон бреннан
«...И ад следовал за ним»,Стивен Хантер,"При загадочных обстоятельствах в маленьком американском городке Фивы исчезает адвокат Сэм Винсент, старый друг бывшего морского пехотинца Эрла Свэггера. Пытаясь спасти друга, Эрл попадает в западню и оказывается в местной тюрьме. Из этого страшного мира, где заключенных подвергают нечеловеческим пыткам, есть только один выход – смерть. Однако Эрлу удается вырваться оттуда. Собрав небольшой отряд из самых крутых и безжалостных стрелков, какие ему только известны, он возвращается в Фивы, чтобы вершить кровавую месть.Еще один захватывающий бестселлер от автора знаменитого романа «Снайпер»!","При загадочных обстоятельствах в маленьком американском городке Фивы исчезает адвокат Сэм Винсент, старый друг бывшего морского пехотинца Эрла Свэггера. Пытаясь спасти друга, Эрл попадает в западню и ",2001,https://images.amazon.com/images/P/0451201558.01.LZZZZZZZ.jpg,Cold Case,0451201558,и ад следовал за ним стивен хантер
"Жила-была женщина, которая хотела убить соседского ребенка (сборник)",Людмила Петрушевская,"В сборник Людмилы Петрушевской вошли мистические рассказы, сказки и ужасные истории с ожившими мертвецами и чудесными спасениями. Этот цикл был опубликован в 90-х гг. под названием «Песни восточных славян». Их очень простой, можно сказать простонародный, слог ввел некоторых критиков в заблуждение, раздавались даже упреки, что надо было обработать эти городские «страшилки», этот сырой материал. Авторская мистификация, таким образом, удалась. (Первоисточником названия, разумеется, были гениальные «Песни западных славян» А. С. Пушкина, переложения «Гуслей» Проспера Мериме – в ХIХ веке весь просвещенный мир принял их за чистый фольклор.)А в Америке книга вышла под другим названием (тем, что на обложке). Она стала бестселлером и принесла автору в 2010 г. главную мировую награду в области фантастической литературы – World Fantasy Award, Всемирную премию фэнтези.","В сборник Людмилы Петрушевской вошли мистические рассказы, сказки и ужасные истории с ожившими мертвецами и чудесными спасениями. Этот цикл был опубликован в 90-х гг. под названием «Песни восточных сл",1995,https://images.amazon.com/images/P/014018869X.01.LZZZZZZZ.jpg,Cold Comfort Farm,014018869X,жилабыла женщина которая хотела убить соседского ребенка сборник людмила петрушевская
Холодный огонь,Дин Кунц,"Их свел случай, странное происшествие, которое могло стать трагедией, но к счастью все завершилось благополучно. Холли Торн, талантливый журналист, становится свидетельницей того, как неизвестный мужчина, появившийся словно бы ниоткуда, вытаскивает из-под колес машины подростка-школьника — в последний момент, когда гибель мальчика была уже, кажется, неминуема. Журналистская интуиция ей подсказывает: вот он, герой, который станет в ее карьере стартом к профессиональным высотам. Но все оборачивается иначе. Джим Айронхарт, спасший мальчика, обладает удивительным свойством — внутри него существует нечто, что толкает Джима все бросить и ехать, лететь, бежать, чтобы спасти человека. Ребенок это, взрослый — не важно. Он не может сопротивляться, сила, которая им управляет, выше его воли и разума. Джим не понимает ее природы, он подавлен, растерян, он истощен морально. И Холли со временем понимает, что цель ее жизни не профессиональный рост, цель ее — спасти человека. Спасти от самого себя. Роман издается в новом переводе.","Их свел случай, странное происшествие, которое могло стать трагедией, но к счастью все завершилось благополучно. Холли Торн, талантливый журналист, становится свидетельницей того, как неизвестный мужч",1996,https://images.amazon.com/images/P/0425130711.01.LZZZZZZZ.jpg,Cold Fire,0425130711,холодный огонь дин кунц
Комната с белыми стенами,Софи Ханна,"Десять лет назад в Англии прошли несколько громких процессов, на которых обвинялись женщины, убившие своих маленьких детей. Вердикт присяжных опирался на заключение судмедэкспертов. Но инициативная группа во главе со знаменитым тележурналистом Лори Натрассом добилась пересмотра этих дел – на том основании, что мнение главного эксперта якобы было предвзятым и непрофессиональным. В результате троих осужденных оправдали. А через какое-то время одна из них была застрелена у себя дома. Затем был убит главный эксперт обвинения. На их телах полиция обнаружила странные карточки с написанными от руки шестнадцатью цифрами. Такую же карточку получил и Лори Натрасс, защищавший несправедливо осужденных женщин. Полиция начала расследование двойного убийства, подозревая, что, возможно, это не последние жертвы в запутанном деле детоубийц...","Десять лет назад в Англии прошли несколько громких процессов, на которых обвинялись женщины, убившие своих маленьких детей. Вердикт присяжных опирался на заключение судмедэкспертов. Но инициативная гр",2003,https://images.amazon.com/images/P/1400077826.01.LZZZZZZZ.jpg,Cold Mountain (MTI) (Vintage Contemporaries),1400077826,комната с белыми стенами софи ханна
Легенды о призраках,Ellen Datlow,"Победитель премии Брема Стокера за лучший сборник! Мрачные и захватывающие, эти двадцать рассказов о привидениях заставят вас дрожать от ужаса! Все истории о призраках написаны в традиционном стиле, но при этом каждый рассказ является уникальным переложением страшных городских легенд со всего мира. Лауреат множества премий Элен Датлоу и номинант нескольких премий, автор и редактор Ник Маматас соединили в одну блестящую композицию работы Джерри Форда, Рэмси Кэмпбелла, Джо Лэнсдейла, Кейтлин Кирнан, Кэтрин Валенте, Кит Ридс, Екатерины Седиа и тринадцати других отличных писателей. Вместе они создали непревзойденную по глубине книгу, которая заставит читателей на всю ночь оставить включенным свет…","Победитель премии Брема Стокера за лучший сборник! Мрачные и захватывающие, эти двадцать рассказов о привидениях заставят вас дрожать от ужаса! Все истории о призраках написаны в традиционном стиле, н",1993,https://images.amazon.com/images/P/0061099708.01.LZZZZZZZ.jpg,Colony,0061099708,легенды о призраках ellen datlow
Две розы,Джулия Гарвуд,"Когда-то много лет назад четверо беспризорников подобрали на улице корзинку с девочкой-подкидышем. Теперь в глуши штата Монтана живет веселая Мэри Роуз Клэйборн, окруженная бесстрашными старшими братьями, и вполне счастлива.Но однажды в городке Блю-Белл появляется пришелец из далекой Европы – красавец лорд Харрисон Стэнфорд Макдональд. Этот изысканный джентльмен покоряет сердце Мэри Роуз, сам, в свою очередь, платит ей взаимностью... и случайно открывает девушке тайну.Тайну, которая в одночасье изменяет все – и может погубить все надежды Харрисона и Мэри Роуз на счастье...","Когда-то много лет назад четверо беспризорников подобрали на улице корзинку с девочкой-подкидышем. Теперь в глуши штата Монтана живет веселая Мэри Роуз Клэйборн, окруженная бесстрашными старшими брать",1998,https://images.amazon.com/images/P/0671003348.01.LZZZZZZZ.jpg,Come the Spring (Clayborne Brothers),0671003348,две розы джулия гарвуд
Семья О’Брайен,Лайза Дженова,"Представьте семью: отец-полицейский, домохозяйка мать и четверо славных детей. А теперь представьте, как однажды на приеме у врача отец семейства узнает, что у него неизлечимое заболевание – болезнь Хантингтона, которая уничтожит его тело и разум в ближайшие 15 лет. Да, болезнь генетическая, это значит, что с вероятностью в пятьдесят процентов дочка, профессиональная балерина, не сможет больше танцевать. И можно забыть о внуках, ведь они тоже в зоне риска. Как дальше жить О’Брайенам? Вариантов несколько: можно сдаться, жалеть себя, злиться, молиться, ждать конца. А можно всем вместе вступить в схватку с судьбой и взять от жизни все, что полагается.","Представьте семью: отец-полицейский, домохозяйка мать и четверо славных детей. А теперь представьте, как однажды на приеме у врача отец семейства узнает, что у него неизлечимое заболевание – болезнь Х",2001,https://images.amazon.com/images/P/0375501959.01.LZZZZZZZ.jpg,Comfort Me with Apples: More Adventures at the Table,0375501959,семья обрайен лайза дженова
Собиратели ракушек,Росамунде Пилчер,,,1984,https://images.amazon.com/images/P/0373107455.01.LZZZZZZZ.jpg,Coming Home,0373107455,собиратели ракушек росамунде пилчер
Французский язык. 6-7-й годы обучения. Базовый уровень. 10-11 классы,Ираида Кузнецова,"Данный продукт не является электронной формой учебника (разработанной в соответствии с требованиями приказа Минобрнауки России No1559 от 08.12.2014). Это точная копия печатного учебника в формате PDF. Не содержит мультимедийных и интерактивных объектов.Учебник является основным компонентом учебно-методического комплекса по французскому языку и предназначен для школ, в которых французский язык изучается как второй иностранный.",Данный продукт не является электронной формой учебника (разработанной в соответствии с требованиями приказа Минобрнауки России No1559 от 08.12.2014). Это точная копия печатного учебника в формате PDF.,1995,https://images.amazon.com/images/P/2070388905.01.LZZZZZZZ.jpg,Comme un roman,2070388905,французский язык 67й годы обучения базовый уровень 1011 классы ираида кузнецова
Космическая трилогия,Клайв Льюис,"Марс, населенный таинственными полулюдьми-полудухами...Прекрасная Венера, которой угрожает загадочная опасность...Земля, обращенная безумными учеными в почти кафкианский по мощи технократический ад...Неисчислимое многоцветье инопланетных культур, гуманоидных и негуманоидных...Мир, в котором персонажи артурианы соседствуют с космическими кораблями, а христианские ангелы и демоны – с представителями рас «чужих»...В своей «Космической трилогии» Клайв Стейплз Льюис впервые в мировой литературе соединил в одном произведении научную фантастику, космическую оперу, фэнтези и философскую притчу. И именно это безоговорочное новаторство обеспечивает романам трилогии заслуженно высокое место в истории фантастики.","Марс, населенный таинственными полулюдьми-полудухами...Прекрасная Венера, которой угрожает загадочная опасность...Земля, обращенная безумными учеными в почти кафкианский по мощи технократический ад...",2001,https://images.amazon.com/images/P/0066238501.01.LZZZZZZZ.jpg,Complete Chronicles of Narnia,0066238501,космическая трилогия клайв льюис
Тяжелый случай. Записки хирурга,Атул Гаванде,"Книга Атула Гаванде, практикующего хирурга и известного популяризатора науки, — блестящее, смелое и невероятно увлекательное повествование о буднях врача, ежедневно имеющего дело с жизнью и смертью, вынужденного принимать решения подчас в ситуациях, когда наука ненадежна, информация ограничена, а ставкой является жизнь человека. Рассказывая трогательные, пронзительные истории из своей практики, автор откровенно говорит о серьезных проблемах и ограничениях современной медицины, о загадках человеческого организма, о том, как хорошие врачи становятся плохими, об удачах и неудачах в работе хирурга, о лечебных ошибках и о том, какое это счастье, когда удается спасти жизнь пациента.","Книга Атула Гаванде, практикующего хирурга и известного популяризатора науки, — блестящее, смелое и невероятно увлекательное повествование о буднях врача, ежедневно имеющего дело с жизнью и смертью, в",2002,https://images.amazon.com/images/P/0805063196.01.LZZZZZZZ.jpg,Complications: A Surgeon's Notes on an Imperfect Science,0805063196,тяжелый случай записки хирурга атул гаванде
Осиная фабрика,Иэн Бэнкс,"Роман, входящий по версии Independent в список «100 лучших книг XX века».Книга, ставшая культовой уже для нескольких поколений ценителей современной прозы.Одно из самых необычных и значимых произведений прошлого столетия.История семнадцатилетнего шотландского мальчишки Фрэнка Колдхейма – то ли гения, то ли опасного безумца, то ли друида некоей причудливой и жестокой религии.Он предсказывает будущее при помощи ритуального механизма собственного изобретения. Он совершает кровавые жертвоприношения у Жертвенных Столбов. Он одержим смертью, свободой и одиночеством и уверен, что знает о своем маленьком, уединенном мирке все.Боится он лишь одного – большого внешнего мира. Словно чувствует: рано или поздно оттуда придет беда...","Роман, входящий по версии Independent в список «100 лучших книг XX века».Книга, ставшая культовой уже для нескольких поколений ценителей современной прозы.Одно из самых необычных и значимых произведен",0,https://images.amazon.com/images/P/0349105715.01.LZZZZZZZ.jpg,Complicity,0349105715,осиная фабрика иэн бэнкс
Девочка-ворона,Эрик Сунд,"Криминальный роман-трилогия «Слабость Виктории Бергман» – литературный дебют двух шведов, Иеркера Эрикссона и Хокана Аксландера Сундквиста, пишущих под псевдонимом Эрик Аксл Сунд. Часть первая, «Девочка-ворона», до глубины души поразила читателей и критиков. Европейская пресса сходится во мнении, что ошеломляющий успех Сунда сравним разве что с успехом великого Стига Ларссона. Полиция Стокгольма находит в городе изуродованные трупы мальчиков. Поскольку жертвы – нелегальные иммигранты, чья судьба почти никого не волнует, полицейское начальство не поощряет стараний следственной группы. Но комиссар Жанетт Чильберг упорно ищет убийцу-садиста.Психотерапевт София Цеттерлунд специализируется на пациентах, перенесших тяжелые травмы в детстве. Ее самые интересные клиенты – загадочная Виктория Бергман и Самуэль Баи, бывший ребенок-солдат из Сьерра-Леоне.Когда пути двух женщин пересекаются, в их жизни наступает драматический перелом, обещающий мгновения счастья и недели тяжелейших испытаний.","Криминальный роман-трилогия «Слабость Виктории Бергман» – литературный дебют двух шведов, Иеркера Эрикссона и Хокана Аксландера Сундквиста, пишущих под псевдонимом Эрик Аксл Сунд. Часть первая, «Девоч",2003,https://images.amazon.com/images/P/0312988249.01.LZZZZZZZ.jpg,Compulsion (Frank Clevenger),0312988249,девочкаворона эрик сунд
"Ребенок на заказ, или Признания акушерки",Диана Чемберлен,"Представьте: ребенок, которого вы считали родной кровинкой, – на самом деле не ваш. Вы родили его в муках, тринадцать лет заботились о нем, отдавали без остатка свои душу и сердце, силы и здоровье. Но так ли хорошо вы помните момент его рождения? Лучшие подруги Ноэль, Тара и Эмерсон были неразлучны. Ноэль была акушеркой, которой они доверили самое ответственное дело – рождение своих детей. Ее самоубийство шокировало всех. И прежде всего – самых близких. Разбирая ее бумаги, они обнаружили, что Ноэль хранила тайну, способную уничтожить все их жизненные опоры. Ухватившись за нее как за ниточку, подруги начинают расследование...","Представьте: ребенок, которого вы считали родной кровинкой, – на самом деле не ваш. Вы родили его в муках, тринадцать лет заботились о нем, отдавали без остатка свои душу и сердце, силы и здоровье. Но",1990,https://images.amazon.com/images/P/0312050631.01.LZZZZZZZ.jpg,Confessions of a Failed Southern Lady,0312050631,ребенок на заказ или признания акушерки диана чемберлен
Тайный мир шопоголика,Софи Кинселла,"Всем известно, что жизнь – нелегкая штука. Буквально на каждом шагу нас подстерегают неприятности и всяческие сложности. Как с этим справляться?У Бекки есть ответ на этот вопрос – шопинг. Но есть одна небольшая загвоздка – кредитка обнуляется с бешеной скоростью. Что делать? Зарабатывать больше? Тернистый путь без гарантии результата. Выйти замуж за богача? Сомнительный вариант для самостоятельной женщины. Экономить? Ну уж дудки!Да, Бекки выбрала дорогостоящее хобби. Но отказаться от привычки покупать выше ее сил. А значит, надо искать выход. И он непременно найдется!","Всем известно, что жизнь – нелегкая штука. Буквально на каждом шагу нас подстерегают неприятности и всяческие сложности. Как с этим справляться?У Бекки есть ответ на этот вопрос – шопинг. Но есть одна",2003,https://images.amazon.com/images/P/0440241413.01.LZZZZZZZ.jpg,Confessions of a Shopaholic,0440241413,тайный мир шопоголика софи кинселла
Брачная ночь,Софи Кинселла,"Когда 33-летняя Шарлотта Грейвени поняла, что Ричард отложил мысль о свадьбе в долгий ящик, ее сестра Флисс приготовилась к худшему. На какое безумство Лотти решится в отчаянии? Уволится с работы? Сделает немыслимую татуировку? Кардинально сменит имидж? А может, начнет серьезные отношения с самым неподходящим для нее человеком? Только бы она не совершила ошибок, о которых потом придется горько жалеть...","Когда 33-летняя Шарлотта Грейвени поняла, что Ричард отложил мысль о свадьбе в долгий ящик, ее сестра Флисс приготовилась к худшему. На какое безумство Лотти решится в отчаянии? Уволится с работы? Сде",2001,https://images.amazon.com/images/P/0385335482.01.LZZZZZZZ.jpg,Confessions of a Shopaholic (Summer Display Opportunity),0385335482,брачная ночь софи кинселла
Зубы дракона,Майкл Крайтон,"Майкл Крайтон – автор ряда бестселлеров No 1 по версии «Нью-Йорк таймс», получивших всемирную известность. Его книги разошлись общим тиражом более 200 миллионов экземпляров. По романам Крайтона сняты «Парк Юрского периода» и нашумевший сериал «Мир Дикого Запада». А телеканал «National Geographic» уже работает над сериалом по мотивам «Зубов дракона».США, 1876 год. Студент Уильям Джонсон в запале заключил пари и теперь должен отправиться с университетским профессором на поиски костей ископаемых животных – на Запад, в земли, где правительство ведет с индейцами войну на уничтожение, а суровые золотоискатели противостоят бандам головорезов. Но Джонсон не подозревает, что это далеко не все опасности, которые его ждут...","Майкл Крайтон – автор ряда бестселлеров No 1 по версии «Нью-Йорк таймс», получивших всемирную известность. Его книги разошлись общим тиражом более 200 миллионов экземпляров. По романам Крайтона сняты ",1995,https://images.amazon.com/images/P/0345378490.01.LZZZZZZZ.jpg,Congo,0345378490,зубы дракона майкл крайтон
Праздник смерти,Нора Робертс,"Гламурный мир моды, косметические салоны, светские тусовки - такая жизнь всегда пугала и раздражала Еву. Но на этот раз ей все же пришлось бесстрашно шагнуть на эту территорию. Читайте книгу и все узнаете","Гламурный мир моды, косметические салоны, светские тусовки - такая жизнь всегда пугала и раздражала Еву. Но на этот раз ей все же пришлось бесстрашно шагнуть на эту территорию. Читайте книгу и все узн",2003,https://images.amazon.com/images/P/0425168131.01.LZZZZZZZ.jpg,Conspiracy in Death,0425168131,праздник смерти нора робертс
Оригиналы,Адам Грант,"Придумать хорошую идею не так уж и трудно – гораздо сложнее выбрать лучшую из множества идей. Построить мощную корпоративную культуру нелегко – но гораздо труднее изменить ее, если она перестала соответствовать изменившимся обстоятельствам. Стоит дважды подумать, прежде чем открыто выступить с критикой начальства – но есть компании, где такая критика не только разрешена, но и поощряется. Адам Грант, профессор Уортонской школы бизнеса и специалист по психологии менеджмента, рассказывает, каким образом люди с оригинальным мышлением могут преодолеть групповое мышление и круговую поруку, отличить излишний оптимизм от разумного риска – и в результате реализовать необычные идеи, способные изменить мир. Проводниками в этом путешествии станут аналитик ЦРУ, изменивший отношение разведчиков к работе с секретной информацией, сотрудница компании Apple, не побоявшаяся возражать самому Стиву Джобсу, и создатели телесериала, который сначала не понравился ни одному телевизионному начальнику – а потом стал самым популярным в мире.В формате pdf.a4 сохранен издательский макет.","Придумать хорошую идею не так уж и трудно – гораздо сложнее выбрать лучшую из множества идей. Построить мощную корпоративную культуру нелегко – но гораздо труднее изменить ее, если она перестала соотв",2002,https://images.amazon.com/images/P/0505524996.01.LZZZZZZZ.jpg,Contact,0505524996,оригиналы адам грант
Беседы с Богом. Необычный диалог. Книга 1,Нил Уолш,"Перед читателем необычный документ нашего времени: послание от Бога – своеобразная программа духовной революции, исчерпывающая все сферы познания и деятельности человека – от сугубо личной до планетарной.Эта книга беспокоит и тревожит, потому что в ней, как в зеркале, мы предстаем в весьма неприглядном свете. Она – обращенное к каждому требование стать лучше, стать выше привычного образа себя, сотканного из самосожалений и самооправданий: стать достойным того первородства, которое как залог жизни вечной Бог даровал человеку.Эта книга ободряет и утешает, потому что в ней нет традиционного для мистических озарений «страха Божьего»: не осуждая человека, каким бы ни был его выбор, Бог показывает ему путь к Себе.Книга «Беседы с Богом. Необычный диалог» впервые опубликована в 1995 году. Она оставалась в списке бестселлеров New York Times в течение 135 недель, переведена на 37 языков и стала международным бестселлером.Цитаты«Глубочайшая тайна – в том, что жизнь – это не процесс открытия, а процесс сотворения. Вы не открываете себя, а создаете себя заново. Поэтому стремитесь не открыть, кто вы есть, а определить, кем вы хотите быть!»«Каждая человеческая мысль и каждое человеческое действие основаны или на любви, или на страхе. Это все, что мотивирует человека, и все другие идеи являются производными этих двух. Все остальное – просто различные вариации, различные обработки одной и той же темы».«Ты есть добро и сострадание, и милосердие, и понимание. Ты есть мир, и радость, и свет. Ты есть прощение и терпение, и сила, и отвага, ты помощник в час нужды, утешитель в час скорби, целитель в час ранения, учитель в час смятения. Ты есть глубочайшая мудрость и высшая истина, величайший мир и самая замечательная любовь. Ты – все это. И были моменты в твоей жизни, когда ты знал такого Себя. Выбери теперь знать себя таковым всегда».«Благословляй каждого человека и любые условия, и будь благодарен. Таким образом ты будешь провозглашать совершенство творения Бога и показывать свою веру в это. Ведь ничто не случайно в мире Бога и нет такой вещи, как совпадение. И мир не управляется случайными выборами или тем, что вы называете роком».«Жить свою жизнь, не имея ожиданий – без нужды в конкретных результатах, – это и есть свобода».Об автореВ феврале 1992 года Нил Доналд Уолш пережил мистический опыт, который впоследствии направил его жизнь в экстраординарно новом направлении. В 49 лет он обнаружил, что его карьера ведущего ток-шоу на радио разваливается, как и семейные отношения, и то же самое можно было сказать о здоровье. Однажды после бессонной ночи Уолш написал злое письмо Богу, в котором содержались такие вопросы: «Что же, наконец, требуется для того, чтобы жизнь заработала?» и «Что я такого совершил, чтобы заслужить жизнь, похожую на непрекращающуюся борьбу?»К удивлению, он начал получать ответы. Содержащиеся в них озарения оказались настолько глубокими, что Уолш записал их в тетрадь и позднее опубликовал под названием «Беседы с Богом. Необычный диалог». Некоторое время спустя вышли вторая и третья книги с таким же названием. Всего Нил Доналд Уолш опубликовал 28 книг и семь из них вошли в список бестселлеров New York Times.","Перед читателем необычный документ нашего времени: послание от Бога – своеобразная программа духовной революции, исчерпывающая все сферы познания и деятельности человека – от сугубо личной до планетар",1996,https://images.amazon.com/images/P/0399142789.01.LZZZZZZZ.jpg,Conversations with God : An Uncommon Dialogue (Book 1),0399142789,беседы с богом необычный диалог книга 1 нил уолш
